indicator_seq,parent_seq,agency_name,indicator_name,description,period_year,period_month,category,frequency,desired_change,indicator_unit,decimal_places,ytd_target,ytd_actual,monthly_target,monthly_actual
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,11,Safety Indicators,M,D,-,2,2.37,2.32,2.37,1.87
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,12,Safety Indicators,M,D,-,2,2.37,2.34,2.37,2.86
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,1,Safety Indicators,M,D,-,2,2.26,2.83,2.26,2.83
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,2,Safety Indicators,M,D,-,2,2.26,2.70,2.26,2.43
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,3,Safety Indicators,M,D,-,2,2.26,2.79,2.26,3.04
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,4,Safety Indicators,M,D,-,2,2.26,2.77,2.26,2.59
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,5,Safety Indicators,M,D,-,2,2.26,2.90,2.26,3.21
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,6,Safety Indicators,M,D,-,2,2.26,2.95,2.26,3.16
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,7,Safety Indicators,M,D,-,2,2.26,2.93,2.26,2.85
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,8,Safety Indicators,M,D,-,2,2.26,3.03,2.26,3.21
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,9,Safety Indicators,M,D,-,2,2.26,2.99,2.26,2.38
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,10,Safety Indicators,M,D,-,2,2.26,2.95,2.26,2.23
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,8,Service Indicators,M,U,-,0,168000.00,0,168000.00,0
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,11,Safety Indicators,M,D,-,2,2.26,2.89,2.26,1.92
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2009,12,Safety Indicators,M,D,-,2,2.26,2.89,2.26,2.38
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,1,Safety Indicators,M,D,-,2,2.75,1.81,2.75,1.81
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,2,Safety Indicators,M,D,-,2,2.75,1.97,2.75,1.84
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,3,Safety Indicators,M,D,-,2,2.75,2.30,2.75,2.11
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,4,Safety Indicators,M,D,-,2,2.75,2.43,2.75,2.16
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,5,Safety Indicators,M,D,-,2,2.75,2.50,2.75,1.93
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,6,Safety Indicators,M,D,-,2,2.75,2.81,2.75,3.08
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,7,Safety Indicators,M,D,-,2,2.75,2.89,2.75,3.39
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,8,Safety Indicators,M,D,-,2,2.75,2.97,2.75,3.49
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,9,Safety Indicators,M,D,-,2,2.75,3.03,2.75,3.54
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,10,Safety Indicators,M,D,-,2,2.75,2.96,2.75,2.34
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,11,Safety Indicators,M,D,-,2,2.75,3.06,2.75,3.05
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2010,12,Safety Indicators,M,D,-,2,2.75,3.10,2.75,3.51
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,1,Safety Indicators,M,D,-,2,0,3.49,0,3.49
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,2,Safety Indicators,M,D,-,2,0,3.28,0,3.07
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,3,Safety Indicators,M,D,-,2,0,3.19,0,2.91
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,4,Safety Indicators,M,D,-,2,0,3.03,0,2.53
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,5,Safety Indicators,M,D,-,2,0,0,0,0
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,6,Safety Indicators,M,D,-,2,0,0,0,0
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,7,Safety Indicators,M,D,-,2,0,0,0,0
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,8,Safety Indicators,M,D,-,2,0,0,0,0
374903,0,NYC Transit,% of Completed Trips - NYCT Bus,The percent of total scheduled bus trips completed,2010,10,Service Indicators,M,U,%,2,99.40,98.58,99.40,98.80
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,9,Safety Indicators,M,D,-,2,0,0,0,0
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,10,Safety Indicators,M,D,-,2,0,0,0,0
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,11,Safety Indicators,M,D,-,2,0,0,0,0
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2011,12,Safety Indicators,M,D,-,2,0,0,0,0
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,1,Service Indicators,M,U,-,0,148244.00,148244.00,155000.00,148420.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,2,Service Indicators,M,U,-,0,148476.00,148476.00,155000.00,140993.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,3,Service Indicators,M,U,-,0,146941.00,146941.00,155000.00,144737.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,4,Service Indicators,M,U,-,0,146277.00,146253.00,155000.00,157804.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,5,Service Indicators,M,U,-,0,144999.00,142961.00,155000.00,133825.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,6,Service Indicators,M,U,-,0,144987.00,141011.00,155000.00,133694.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,7,Service Indicators,M,U,-,0,146516.00,139628.00,155000.00,124910.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,8,Service Indicators,M,U,-,0,149567.00,138836.00,155000.00,117993.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,9,Service Indicators,M,U,-,0,150155.00,136946.00,155000.00,127214.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,10,Service Indicators,M,U,-,0,152392.00,137332.00,155000.00,138127.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,11,Service Indicators,M,U,-,0,152365.00,136064.00,155000.00,140283.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2008,12,Service Indicators,M,U,-,0,155000.00,134795.00,155000.00,121264.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,1,Service Indicators,M,U,-,0,145000.00,133546.00,145000.00,132340.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,2,Service Indicators,M,U,-,0,145000.00,133325.00,145000.00,138178.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,3,Service Indicators,M,U,-,0,145000.00,133711.00,145000.00,150126.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,4,Service Indicators,M,U,-,0,145000.00,133021.00,145000.00,147167.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,5,Service Indicators,M,U,-,0,145000.00,136152.00,145000.00,185485.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,6,Service Indicators,M,U,-,0,145000.00,138972.00,145000.00,175641.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,7,Service Indicators,M,U,-,0,145000.00,139897.00,145000.00,134384.00
67967,0,NYC Transit,On-Time Performance - Staten Island Railway,Number of Trains Scheduled Minus Delays/Number of Trains Scheduled,2009,3,Service Indicators,M,U,%,1,96.50,96.50,96.50,98.40
67967,0,NYC Transit,On-Time Performance - Staten Island Railway,Number of Trains Scheduled Minus Delays/Number of Trains Scheduled,2009,9,Service Indicators,M,U,%,1,96.50,96.70,96.50,98.20
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,8,Service Indicators,M,U,-,0,145000.00,139889.00,145000.00,118186.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,9,Service Indicators,M,U,-,0,145000.00,142538.00,145000.00,159851.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,10,Service Indicators,M,U,-,0,145000.00,145170.00,145000.00,173800.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,11,Service Indicators,M,U,-,0,145000.00,148417.00,145000.00,189553.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2009,12,Service Indicators,M,U,-,0,145000.00,153201.00,145000.00,171752.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,1,Service Indicators,M,U,-,0,155000.00,157233.00,155000.00,179692.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,2,Service Indicators,M,U,-,0,155000.00,160839.00,155000.00,186298.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,3,Service Indicators,M,U,-,0,155000.00,165396.00,155000.00,213410.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,4,Service Indicators,M,U,-,0,155000.00,170182.00,155000.00,210439.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,5,Service Indicators,M,U,-,0,155000.00,170314.00,155000.00,187140.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,6,Service Indicators,M,U,-,0,155000.00,166263.00,155000.00,159454.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,7,Service Indicators,M,U,-,0,155000.00,165355.00,155000.00,126376.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,8,Service Indicators,M,U,-,0,155000.00,169680.00,155000.00,146705.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,9,Service Indicators,M,U,-,0,155000.00,168832.00,155000.00,148004.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,10,Service Indicators,M,U,-,0,155000.00,169438.00,155000.00,176252.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,11,Service Indicators,M,U,-,0,155000.00,170695.00,155000.00,208109.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2010,12,Service Indicators,M,U,-,0,155000.00,170217.00,155000.00,165152.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,1,Service Indicators,M,U,-,0,168000.00,158000.00,168000.00,193371.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,2,Service Indicators,M,U,-,0,168000.00,171746.00,168000.00,188717.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,3,Service Indicators,M,U,-,0,168000.00,170410.00,168000.00,192527.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,4,Service Indicators,M,U,-,0,168000.00,171553.00,168000.00,219564.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,5,Service Indicators,M,U,-,0,168000.00,174330.00,168000.00,236322.00
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,6,Service Indicators,M,U,-,0,168000.00,0,168000.00,0
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,7,Service Indicators,M,U,-,0,168000.00,0,168000.00,0
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,9,Service Indicators,M,U,-,0,168000.00,0,168000.00,0
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,10,Service Indicators,M,U,-,0,168000.00,0,168000.00,0
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,11,Service Indicators,M,U,-,0,168000.00,0,168000.00,0
67816,0,NYC Transit,Mean Distance Between Failures - Subways,Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes,2011,12,Service Indicators,M,U,-,0,168000.00,0,168000.00,0
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,1,Service Indicators,M,U,%,1,87.00,86.40,87.00,86.40
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,2,Service Indicators,M,U,%,1,87.00,86.20,87.00,85.90
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,3,Service Indicators,M,U,%,1,87.00,86.30,87.00,86.40
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,4,Service Indicators,M,U,%,1,87.00,86.10,87.00,85.80
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,5,Service Indicators,M,U,%,1,87.00,86.00,87.00,85.70
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,6,Service Indicators,M,U,%,1,87.00,86.10,87.00,86.40
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,7,Service Indicators,M,U,%,1,87.00,85.90,87.00,84.60
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,8,Service Indicators,M,U,%,1,87.00,86.00,87.00,86.70
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,9,Service Indicators,M,U,%,1,87.00,86.20,87.00,87.70
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,10,Service Indicators,M,U,%,1,87.00,86.30,87.00,86.80
67824,0,NYC Transit,"Wait Assessment - Subways (Inactive, Historic Calculations)",The percent of actual intervals between trains that are no more than the scheduled interval plus 2 minutes during peak hours (6 AM - 9 AM) and plus 4 minutes during off-peak hours (9 AM - 4 PM and 7 PM - midnight). Wait assessment is measured weekdays between 6:00 AM - midnight when service is relatively frequent. The data is based on a sample methodology.,2008,11,Service Indicators,M,U,%,1,87.00,86.40,87.00,87.40
67923,0,NYC Transit,Customer Injury Rate - Subways,Any injury to a customer as a result of an incident within/on subway property. Assaults are not included. The rate is injuries per million customers.,2008,7,Safety Indicators,M,D,-,2,3.39,3.20,3.23,3.17
